keyids,motion path,annotations
0050,datasets/motions/flag_subset_guoh3dfeats/M001P001A017R002.npy,Bare-handed Full Lateral Raise
0051,datasets/motions/flag_subset_guoh3dfeats/M001P001A017R003.npy,Bare-handed Full Lateral Raise
0052,datasets/motions/flag_subset_guoh3dfeats/M001P001A018R001.npy,Bare-handed Cuban Press
0053,datasets/motions/flag_subset_guoh3dfeats/M001P001A018R002.npy,Bare-handed Cuban Press
0054,datasets/motions/flag_subset_guoh3dfeats/M001P001A018R003.npy,Bare-handed Cuban Press
0055,datasets/motions/flag_subset_guoh3dfeats/M001P001A019R001.npy,Fortune Cat
0056,datasets/motions/flag_subset_guoh3dfeats/M001P001A019R002.npy,Fortune Cat
0057,datasets/motions/flag_subset_guoh3dfeats/M001P001A019R003.npy,Fortune Cat
0058,datasets/motions/flag_subset_guoh3dfeats/M001P001A020R001.npy,Dumbbell Curls
0059,datasets/motions/flag_subset_guoh3dfeats/M001P001A020R002.npy,Dumbbell Curls
0060,datasets/motions/flag_subset_guoh3dfeats/M001P001A020R003.npy,Dumbbell Curls
0061,datasets/motions/flag_subset_guoh3dfeats/M001P001A021R001.npy,Alternate Dumbbell Curls
0062,datasets/motions/flag_subset_guoh3dfeats/M001P001A021R002.npy,Alternate Dumbbell Curls
0063,datasets/motions/flag_subset_guoh3dfeats/M001P001A021R003.npy,Alternate Dumbbell Curls
0064,datasets/motions/flag_subset_guoh3dfeats/M001P001A022R001.npy,Right-side Kettlebell Bent-over Row
0065,datasets/motions/flag_subset_guoh3dfeats/M001P001A022R002.npy,Right-side Kettlebell Bent-over Row
0066,datasets/motions/flag_subset_guoh3dfeats/M001P001A022R003.npy,Right-side Kettlebell Bent-over Row
0067,datasets/motions/flag_subset_guoh3dfeats/M001P001A023R001.npy,Wrist Joint Warm-up
0068,datasets/motions/flag_subset_guoh3dfeats/M001P001A023R002.npy,Wrist Joint Warm-up
0069,datasets/motions/flag_subset_guoh3dfeats/M001P001A023R003.npy,Wrist Joint Warm-up
0070,datasets/motions/flag_subset_guoh3dfeats/M001P001A024R001.npy,Right-side Bent-over Tricep Extension With Resistance Band
0071,datasets/motions/flag_subset_guoh3dfeats/M001P001A024R002.npy,Right-side Bent-over Tricep Extension With Resistance Band
0072,datasets/motions/flag_subset_guoh3dfeats/M001P001A024R003.npy,Right-side Bent-over Tricep Extension With Resistance Band
0073,datasets/motions/flag_subset_guoh3dfeats/M001P001A025R001.npy,Bent-over Dumbbell Tricep Extension
0074,datasets/motions/flag_subset_guoh3dfeats/M001P001A025R002.npy,Bent-over Dumbbell Tricep Extension
0075,datasets/motions/flag_subset_guoh3dfeats/M001P001A025R003.npy,Bent-over Dumbbell Tricep Extension
0076,datasets/motions/flag_subset_guoh3dfeats/M001P001A026R001.npy,Nod And Raise Head
0077,datasets/motions/flag_subset_guoh3dfeats/M001P001A026R002.npy,Nod And Raise Head
0078,datasets/motions/flag_subset_guoh3dfeats/M001P001A026R003.npy,Nod And Raise Head
0079,datasets/motions/flag_subset_guoh3dfeats/M001P001A027R001.npy,Two-way Head Turn
0080,datasets/motions/flag_subset_guoh3dfeats/M001P001A027R002.npy,Two-way Head Turn
0081,datasets/motions/flag_subset_guoh3dfeats/M001P001A027R003.npy,Two-way Head Turn
0082,datasets/motions/flag_subset_guoh3dfeats/M001P001A028R001.npy,Shrug And Sink The Shoulders
0083,datasets/motions/flag_subset_guoh3dfeats/M001P001A028R002.npy,Shrug And Sink The Shoulders
0084,datasets/motions/flag_subset_guoh3dfeats/M001P001A028R003.npy,Shrug And Sink The Shoulders
0085,datasets/motions/flag_subset_guoh3dfeats/M001P001A029R001.npy,Four-way Nod Head
0086,datasets/motions/flag_subset_guoh3dfeats/M001P001A029R002.npy,Four-way Nod Head
0087,datasets/motions/flag_subset_guoh3dfeats/M001P001A029R003.npy,Four-way Nod Head
0088,datasets/motions/flag_subset_guoh3dfeats/M001P001A030R001.npy,Lying Alternate Upper-half Leg Raise
0089,datasets/motions/flag_subset_guoh3dfeats/M001P001A030R002.npy,Lying Alternate Upper-half Leg Raise
0090,datasets/motions/flag_subset_guoh3dfeats/M001P001A030R003.npy,Lying Alternate Upper-half Leg Raise
0091,datasets/motions/flag_subset_guoh3dfeats/M001P001A031R001.npy,Half Roll Back
0092,datasets/motions/flag_subset_guoh3dfeats/M001P001A031R002.npy,Half Roll Back
0093,datasets/motions/flag_subset_guoh3dfeats/M001P001A031R003.npy,Half Roll Back
0094,datasets/motions/flag_subset_guoh3dfeats/M001P001A032R001.npy,Kneeling Right-side Torso Twist
0095,datasets/motions/flag_subset_guoh3dfeats/M001P001A032R002.npy,Kneeling Right-side Torso Twist
0096,datasets/motions/flag_subset_guoh3dfeats/M001P001A032R003.npy,Kneeling Right-side Torso Twist
0097,datasets/motions/flag_subset_guoh3dfeats/M001P001A033R001.npy,Left-side Knee Raise And Abdominal Muscles Contract
0098,datasets/motions/flag_subset_guoh3dfeats/M001P001A033R002.npy,Left-side Knee Raise And Abdominal Muscles Contract
0099,datasets/motions/flag_subset_guoh3dfeats/M001P001A033R003.npy,Left-side Knee Raise And Abdominal Muscles Contract
0100,datasets/motions/flag_subset_guoh3dfeats/M001P001A034R001.npy,Kneeling Right Leg Backward Stretch
0101,datasets/motions/flag_subset_guoh3dfeats/M001P001A034R002.npy,Kneeling Right Leg Backward Stretch
0102,datasets/motions/flag_subset_guoh3dfeats/M001P001A034R003.npy,Kneeling Right Leg Backward Stretch
0103,datasets/motions/flag_subset_guoh3dfeats/M001P001A035R001.npy,Kneeling Right Arm Raise
0104,datasets/motions/flag_subset_guoh3dfeats/M001P001A035R002.npy,Kneeling Right Arm Raise
0105,datasets/motions/flag_subset_guoh3dfeats/M001P001A035R003.npy,Kneeling Right Arm Raise
0106,datasets/motions/flag_subset_guoh3dfeats/M001P001A036R001.npy,Shoulder Bridge
0107,datasets/motions/flag_subset_guoh3dfeats/M001P001A036R002.npy,Shoulder Bridge
0108,datasets/motions/flag_subset_guoh3dfeats/M001P001A036R003.npy,Shoulder Bridge
0109,datasets/motions/flag_subset_guoh3dfeats/M001P001A037R001.npy,Prone Press-ups
0110,datasets/motions/flag_subset_guoh3dfeats/M001P001A037R002.npy,Prone Press-ups
0111,datasets/motions/flag_subset_guoh3dfeats/M001P001A037R003.npy,Prone Press-ups
0112,datasets/motions/flag_subset_guoh3dfeats/M001P001A038R001.npy,Bent-over Torso Rotation
0113,datasets/motions/flag_subset_guoh3dfeats/M001P001A038R002.npy,Bent-over Torso Rotation
0114,datasets/motions/flag_subset_guoh3dfeats/M001P001A038R003.npy,Bent-over Torso Rotation
0115,datasets/motions/flag_subset_guoh3dfeats/M001P001A039R001.npy,Lying Arm Pull
0116,datasets/motions/flag_subset_guoh3dfeats/M001P001A039R002.npy,Lying Arm Pull
0117,datasets/motions/flag_subset_guoh3dfeats/M001P001A039R003.npy,Lying Arm Pull
0118,datasets/motions/flag_subset_guoh3dfeats/M001P001A040R001.npy,Prone Press Up With Torso Rotation
0119,datasets/motions/flag_subset_guoh3dfeats/M001P001A040R002.npy,Prone Press Up With Torso Rotation
0120,datasets/motions/flag_subset_guoh3dfeats/M001P001A040R003.npy,Prone Press Up With Torso Rotation
0121,datasets/motions/flag_subset_guoh3dfeats/M001P001A041R001.npy,Breaststroke Push-ups
0122,datasets/motions/flag_subset_guoh3dfeats/M001P001A041R002.npy,Breaststroke Push-ups
0123,datasets/motions/flag_subset_guoh3dfeats/M001P001A041R003.npy,Breaststroke Push-ups
0124,datasets/motions/flag_subset_guoh3dfeats/M001P001A042R001.npy,Sit-ups
0125,datasets/motions/flag_subset_guoh3dfeats/M001P001A042R002.npy,Sit-ups
0126,datasets/motions/flag_subset_guoh3dfeats/M001P001A042R003.npy,Sit-ups
0127,datasets/motions/flag_subset_guoh3dfeats/M001P001A043R001.npy,Side-lying Left Leg Forward Raise
0128,datasets/motions/flag_subset_guoh3dfeats/M001P001A043R002.npy,Side-lying Left Leg Forward Raise
0129,datasets/motions/flag_subset_guoh3dfeats/M001P001A043R003.npy,Side-lying Left Leg Forward Raise
0130,datasets/motions/flag_subset_guoh3dfeats/M001P001A044R001.npy,Right Leg Reverse Lunge
0131,datasets/motions/flag_subset_guoh3dfeats/M001P001A044R002.npy,Right Leg Reverse Lunge
0132,datasets/motions/flag_subset_guoh3dfeats/M001P001A044R003.npy,Right Leg Reverse Lunge
0133,datasets/motions/flag_subset_guoh3dfeats/M001P001A045R001.npy,Kneeling Left Knee Lift
0134,datasets/motions/flag_subset_guoh3dfeats/M001P001A045R002.npy,Kneeling Left Knee Lift
0135,datasets/motions/flag_subset_guoh3dfeats/M001P001A045R003.npy,Kneeling Left Knee Lift
0136,datasets/motions/flag_subset_guoh3dfeats/M001P001A046R001.npy,Alternate Reverse Lunge
0137,datasets/motions/flag_subset_guoh3dfeats/M001P001A046R002.npy,Alternate Reverse Lunge
0138,datasets/motions/flag_subset_guoh3dfeats/M001P001A046R003.npy,Alternate Reverse Lunge
0139,datasets/motions/flag_subset_guoh3dfeats/M001P001A047R001.npy,Side-lying Right Leg Backward Kick
0140,datasets/motions/flag_subset_guoh3dfeats/M001P001A047R002.npy,Side-lying Right Leg Backward Kick
0141,datasets/motions/flag_subset_guoh3dfeats/M001P001A047R003.npy,Side-lying Right Leg Backward Kick
0142,datasets/motions/flag_subset_guoh3dfeats/M001P001A048R001.npy,Left Leg Lunge With Knee Lift
0143,datasets/motions/flag_subset_guoh3dfeats/M001P001A048R002.npy,Left Leg Lunge With Knee Lift
0144,datasets/motions/flag_subset_guoh3dfeats/M001P001A048R003.npy,Left Leg Lunge With Knee Lift
0145,datasets/motions/flag_subset_guoh3dfeats/M001P001A049R001.npy,Sumo Squat
0146,datasets/motions/flag_subset_guoh3dfeats/M001P001A049R002.npy,Sumo Squat
0147,datasets/motions/flag_subset_guoh3dfeats/M001P001A049R003.npy,Sumo Squat
0148,datasets/motions/flag_subset_guoh3dfeats/M001P001A050R001.npy,Straight Leg Calf Raise
0149,datasets/motions/flag_subset_guoh3dfeats/M001P001A050R002.npy,Straight Leg Calf Raise
0150,datasets/motions/flag_subset_guoh3dfeats/M001P001A050R003.npy,Straight Leg Calf Raise
0151,datasets/motions/flag_subset_guoh3dfeats/M001P001A051R001.npy,Squat Jump
0152,datasets/motions/flag_subset_guoh3dfeats/M001P001A051R002.npy,Squat Jump
0153,datasets/motions/flag_subset_guoh3dfeats/M001P001A051R003.npy,Squat Jump
0154,datasets/motions/flag_subset_guoh3dfeats/M001P001A052R001.npy,Squat With Alternate Knee Lift
0155,datasets/motions/flag_subset_guoh3dfeats/M001P001A052R002.npy,Squat With Alternate Knee Lift
0156,datasets/motions/flag_subset_guoh3dfeats/M001P001A052R003.npy,Squat With Alternate Knee Lift
0157,datasets/motions/flag_subset_guoh3dfeats/M001P001A053R001.npy,Standing Alternate Butt Kick
0158,datasets/motions/flag_subset_guoh3dfeats/M001P001A053R002.npy,Standing Alternate Butt Kick
0159,datasets/motions/flag_subset_guoh3dfeats/M001P001A053R003.npy,Standing Alternate Butt Kick
0160,datasets/motions/flag_subset_guoh3dfeats/M001P001A054R001.npy,Knee Warm-up
0161,datasets/motions/flag_subset_guoh3dfeats/M001P001A054R002.npy,Knee Warm-up
0162,datasets/motions/flag_subset_guoh3dfeats/M001P001A054R003.npy,Knee Warm-up
0163,datasets/motions/flag_subset_guoh3dfeats/M001P001A055R001.npy,Butt Kicks
0164,datasets/motions/flag_subset_guoh3dfeats/M001P001A055R002.npy,Butt Kicks
0165,datasets/motions/flag_subset_guoh3dfeats/M001P001A055R003.npy,Butt Kicks
0166,datasets/motions/flag_subset_guoh3dfeats/M001P001A056R001.npy,Jump Left and Right
0167,datasets/motions/flag_subset_guoh3dfeats/M001P001A056R002.npy,Jump Left and Right
0168,datasets/motions/flag_subset_guoh3dfeats/M001P001A056R003.npy,Jump Left and Right
0169,datasets/motions/flag_subset_guoh3dfeats/M001P001A057R001.npy,Jumping Jacks
0170,datasets/motions/flag_subset_guoh3dfeats/M001P001A057R002.npy,Jumping Jacks
0171,datasets/motions/flag_subset_guoh3dfeats/M001P001A057R003.npy,Jumping Jacks
0172,datasets/motions/flag_subset_guoh3dfeats/M001P001A058R001.npy,High Knee
0173,datasets/motions/flag_subset_guoh3dfeats/M001P001A058R002.npy,High Knee
0174,datasets/motions/flag_subset_guoh3dfeats/M001P001A058R003.npy,High Knee
0175,datasets/motions/flag_subset_guoh3dfeats/M001P001A059R001.npy,Clap Jacks
0176,datasets/motions/flag_subset_guoh3dfeats/M001P001A059R002.npy,Clap Jacks
0177,datasets/motions/flag_subset_guoh3dfeats/M001P001A059R003.npy,Clap Jacks
0178,datasets/motions/flag_subset_guoh3dfeats/M001P001A060R001.npy,Run In Place With Arm Swing
0179,datasets/motions/flag_subset_guoh3dfeats/M001P001A060R002.npy,Run In Place With Arm Swing
0180,datasets/motions/flag_subset_guoh3dfeats/M001P001A060R003.npy,Run In Place With Arm Swing
0181,datasets/motions/flag_subset_guoh3dfeats/M001P002A001R001.npy,Svend Press
0182,datasets/motions/flag_subset_guoh3dfeats/M001P002A001R002.npy,Svend Press
0183,datasets/motions/flag_subset_guoh3dfeats/M001P002A001R003.npy,Svend Press
0184,datasets/motions/flag_subset_guoh3dfeats/M001P002A002R001.npy,Kneeling Push-ups
0185,datasets/motions/flag_subset_guoh3dfeats/M001P002A002R002.npy,Kneeling Push-ups
0186,datasets/motions/flag_subset_guoh3dfeats/M001P002A002R003.npy,Kneeling Push-ups
0187,datasets/motions/flag_subset_guoh3dfeats/M001P002A003R001.npy,Standing Straight-arm Chest Press With Resistance Band
0188,datasets/motions/flag_subset_guoh3dfeats/M001P002A003R002.npy,Standing Straight-arm Chest Press With Resistance Band
0189,datasets/motions/flag_subset_guoh3dfeats/M001P002A003R003.npy,Standing Straight-arm Chest Press With Resistance Band
0190,datasets/motions/flag_subset_guoh3dfeats/M001P002A004R001.npy,Small Dumbbell Floor Flies
0191,datasets/motions/flag_subset_guoh3dfeats/M001P002A004R002.npy,Small Dumbbell Floor Flies
0192,datasets/motions/flag_subset_guoh3dfeats/M001P002A004R003.npy,Small Dumbbell Floor Flies
0193,datasets/motions/flag_subset_guoh3dfeats/M001P002A005R001.npy,Chest Fly
0194,datasets/motions/flag_subset_guoh3dfeats/M001P002A005R002.npy,Chest Fly
0195,datasets/motions/flag_subset_guoh3dfeats/M001P002A005R003.npy,Chest Fly
0196,datasets/motions/flag_subset_guoh3dfeats/M001P002A006R001.npy,Push-ups
0197,datasets/motions/flag_subset_guoh3dfeats/M001P002A006R002.npy,Push-ups
0198,datasets/motions/flag_subset_guoh3dfeats/M001P002A006R003.npy,Push-ups
0199,datasets/motions/flag_subset_guoh3dfeats/M001P002A007R001.npy,Bent-over W-shape Stretch
0200,datasets/motions/flag_subset_guoh3dfeats/M001P002A007R002.npy,Bent-over W-shape Stretch
0201,datasets/motions/flag_subset_guoh3dfeats/M001P002A007R003.npy,Bent-over W-shape Stretch
0202,datasets/motions/flag_subset_guoh3dfeats/M001P002A008R001.npy,Bent-over Y-shape Stretch
0203,datasets/motions/flag_subset_guoh3dfeats/M001P002A008R002.npy,Bent-over Y-shape Stretch
0204,datasets/motions/flag_subset_guoh3dfeats/M001P002A008R003.npy,Bent-over Y-shape Stretch
0205,datasets/motions/flag_subset_guoh3dfeats/M001P002A009R001.npy,Bent-over A-shape Stretch
0206,datasets/motions/flag_subset_guoh3dfeats/M001P002A009R002.npy,Bent-over A-shape Stretch
0207,datasets/motions/flag_subset_guoh3dfeats/M001P002A009R003.npy,Bent-over A-shape Stretch
0208,datasets/motions/flag_subset_guoh3dfeats/M001P002A010R001.npy,Squat With Arm Lift
0209,datasets/motions/flag_subset_guoh3dfeats/M001P002A010R002.npy,Squat With Arm Lift
0210,datasets/motions/flag_subset_guoh3dfeats/M001P002A010R003.npy,Squat With Arm Lift
0211,datasets/motions/flag_subset_guoh3dfeats/M001P002A011R001.npy,Breaststroke Arm Pull
0212,datasets/motions/flag_subset_guoh3dfeats/M001P002A011R002.npy,Breaststroke Arm Pull
0213,datasets/motions/flag_subset_guoh3dfeats/M001P002A011R003.npy,Breaststroke Arm Pull
0214,datasets/motions/flag_subset_guoh3dfeats/M001P002A012R001.npy,Prone Y-shape Stretch
0215,datasets/motions/flag_subset_guoh3dfeats/M001P002A012R002.npy,Prone Y-shape Stretch
0216,datasets/motions/flag_subset_guoh3dfeats/M001P002A012R003.npy,Prone Y-shape Stretch
0217,datasets/motions/flag_subset_guoh3dfeats/M001P002A013R001.npy,Lateral Raise Forward Circles
0218,datasets/motions/flag_subset_guoh3dfeats/M001P002A013R002.npy,Lateral Raise Forward Circles
0219,datasets/motions/flag_subset_guoh3dfeats/M001P002A013R003.npy,Lateral Raise Forward Circles
0220,datasets/motions/flag_subset_guoh3dfeats/M001P002A014R001.npy,Lateral Raise Backward Circles
0221,datasets/motions/flag_subset_guoh3dfeats/M001P002A014R002.npy,Lateral Raise Backward Circles
0222,datasets/motions/flag_subset_guoh3dfeats/M001P002A014R003.npy,Lateral Raise Backward Circles
0223,datasets/motions/flag_subset_guoh3dfeats/M001P002A015R001.npy,Lying Shoulder Joint Upward Round
0224,datasets/motions/flag_subset_guoh3dfeats/M001P002A015R002.npy,Lying Shoulder Joint Upward Round
0225,datasets/motions/flag_subset_guoh3dfeats/M001P002A015R003.npy,Lying Shoulder Joint Upward Round
0226,datasets/motions/flag_subset_guoh3dfeats/M001P002A016R001.npy,Lying Shoulder Joint Downward Round
0227,datasets/motions/flag_subset_guoh3dfeats/M001P002A016R002.npy,Lying Shoulder Joint Downward Round
0228,datasets/motions/flag_subset_guoh3dfeats/M001P002A016R003.npy,Lying Shoulder Joint Downward Round
0229,datasets/motions/flag_subset_guoh3dfeats/M001P002A017R001.npy,Bare-handed Full Lateral Raise
0230,datasets/motions/flag_subset_guoh3dfeats/M001P002A017R002.npy,Bare-handed Full Lateral Raise
0231,datasets/motions/flag_subset_guoh3dfeats/M001P002A017R003.npy,Bare-handed Full Lateral Raise
0232,datasets/motions/flag_subset_guoh3dfeats/M001P002A018R001.npy,Bare-handed Cuban Press
0233,datasets/motions/flag_subset_guoh3dfeats/M001P002A018R002.npy,Bare-handed Cuban Press
0234,datasets/motions/flag_subset_guoh3dfeats/M001P002A018R003.npy,Bare-handed Cuban Press
0235,datasets/motions/flag_subset_guoh3dfeats/M001P002A019R001.npy,Fortune Cat
0236,datasets/motions/flag_subset_guoh3dfeats/M001P002A019R002.npy,Fortune Cat
0237,datasets/motions/flag_subset_guoh3dfeats/M001P002A019R003.npy,Fortune Cat
0238,datasets/motions/flag_subset_guoh3dfeats/M001P002A020R001.npy,Dumbbell Curls
0239,datasets/motions/flag_subset_guoh3dfeats/M001P002A020R002.npy,Dumbbell Curls
0240,datasets/motions/flag_subset_guoh3dfeats/M001P002A020R003.npy,Dumbbell Curls
0241,datasets/motions/flag_subset_guoh3dfeats/M001P002A021R001.npy,Alternate Dumbbell Curls
0242,datasets/motions/flag_subset_guoh3dfeats/M001P002A021R002.npy,Alternate Dumbbell Curls
0243,datasets/motions/flag_subset_guoh3dfeats/M001P002A021R003.npy,Alternate Dumbbell Curls
0244,datasets/motions/flag_subset_guoh3dfeats/M001P002A022R001.npy,Right-side Kettlebell Bent-over Row
0245,datasets/motions/flag_subset_guoh3dfeats/M001P002A022R002.npy,Right-side Kettlebell Bent-over Row
0246,datasets/motions/flag_subset_guoh3dfeats/M001P002A022R003.npy,Right-side Kettlebell Bent-over Row
0247,datasets/motions/flag_subset_guoh3dfeats/M001P002A023R001.npy,Wrist Joint Warm-up
0248,datasets/motions/flag_subset_guoh3dfeats/M001P002A023R002.npy,Wrist Joint Warm-up
0249,datasets/motions/flag_subset_guoh3dfeats/M001P002A023R003.npy,Wrist Joint Warm-up
0250,datasets/motions/flag_subset_guoh3dfeats/M001P002A024R001.npy,Right-side Bent-over Tricep Extension With Resistance Band
0251,datasets/motions/flag_subset_guoh3dfeats/M001P002A024R002.npy,Right-side Bent-over Tricep Extension With Resistance Band
0252,datasets/motions/flag_subset_guoh3dfeats/M001P002A024R003.npy,Right-side Bent-over Tricep Extension With Resistance Band
0253,datasets/motions/flag_subset_guoh3dfeats/M001P002A025R001.npy,Bent-over Dumbbell Tricep Extension
0254,datasets/motions/flag_subset_guoh3dfeats/M001P002A025R002.npy,Bent-over Dumbbell Tricep Extension
0255,datasets/motions/flag_subset_guoh3dfeats/M001P002A025R003.npy,Bent-over Dumbbell Tricep Extension
0256,datasets/motions/flag_subset_guoh3dfeats/M001P002A026R001.npy,Nod And Raise Head
0257,datasets/motions/flag_subset_guoh3dfeats/M001P002A026R002.npy,Nod And Raise Head
0258,datasets/motions/flag_subset_guoh3dfeats/M001P002A026R003.npy,Nod And Raise Head
0259,datasets/motions/flag_subset_guoh3dfeats/M001P002A027R001.npy,Two-way Head Turn
0260,datasets/motions/flag_subset_guoh3dfeats/M001P002A027R002.npy,Two-way Head Turn
0261,datasets/motions/flag_subset_guoh3dfeats/M001P002A027R003.npy,Two-way Head Turn
0262,datasets/motions/flag_subset_guoh3dfeats/M001P002A028R001.npy,Shrug And Sink The Shoulders
0263,datasets/motions/flag_subset_guoh3dfeats/M001P002A028R002.npy,Shrug And Sink The Shoulders
0264,datasets/motions/flag_subset_guoh3dfeats/M001P002A028R003.npy,Shrug And Sink The Shoulders
0265,datasets/motions/flag_subset_guoh3dfeats/M001P002A029R001.npy,Four-way Nod Head
0266,datasets/motions/flag_subset_guoh3dfeats/M001P002A029R002.npy,Four-way Nod Head
0267,datasets/motions/flag_subset_guoh3dfeats/M001P002A029R003.npy,Four-way Nod Head
0268,datasets/motions/flag_subset_guoh3dfeats/M001P002A030R001.npy,Lying Alternate Upper-half Leg Raise
0269,datasets/motions/flag_subset_guoh3dfeats/M001P002A030R002.npy,Lying Alternate Upper-half Leg Raise
0270,datasets/motions/flag_subset_guoh3dfeats/M001P002A030R003.npy,Lying Alternate Upper-half Leg Raise
0271,datasets/motions/flag_subset_guoh3dfeats/M001P002A031R001.npy,Half Roll Back
0272,datasets/motions/flag_subset_guoh3dfeats/M001P002A031R002.npy,Half Roll Back
0273,datasets/motions/flag_subset_guoh3dfeats/M001P002A031R003.npy,Half Roll Back
0274,datasets/motions/flag_subset_guoh3dfeats/M001P002A032R001.npy,Kneeling Right-side Torso Twist
0275,datasets/motions/flag_subset_guoh3dfeats/M001P002A032R002.npy,Kneeling Right-side Torso Twist
0276,datasets/motions/flag_subset_guoh3dfeats/M001P002A032R003.npy,Kneeling Right-side Torso Twist
0277,datasets/motions/flag_subset_guoh3dfeats/M001P002A033R001.npy,Left-side Knee Raise And Abdominal Muscles Contract
0278,datasets/motions/flag_subset_guoh3dfeats/M001P002A033R002.npy,Left-side Knee Raise And Abdominal Muscles Contract
